,method,auc_noisy,elapsed,subproblem,subproblem_id,dataset_id,num_boost_round
165,TotalGain-oob (Saabas),0.6133333333333333,0.7824709415435791,classification,2,0,32
166,TotalGain-oob (Shap),0.6311111111111112,1.0149378776550293,classification,2,0,32
167,TotalGain,0.38666666666666666,1.3393080234527588,classification,2,0,32
168,TotalGain (Shap),0.48888888888888893,0.7156660556793213,classification,2,0,32
169,Permutation (perm_round = 5),0.4755555555555556,1.7410755157470703,classification,2,0,32
170,TotalGain-oob (Saabas),0.6,1.5044374465942383,classification,2,0,64
171,TotalGain-oob (Shap),0.6311111111111111,4.150967597961426,classification,2,0,64
172,TotalGain,0.37777777777777777,2.7222647666931152,classification,2,0,64
173,TotalGain (Shap),0.5155555555555555,1.415095329284668,classification,2,0,64
174,Permutation (perm_round = 5),0.5733333333333334,1.8914942741394043,classification,2,0,64
175,TotalGain-oob (Saabas),0.4755555555555555,0.7091176509857178,classification,2,1,1
176,TotalGain-oob (Shap),0.47111111111111115,0.1999366283416748,classification,2,1,1
177,TotalGain,0.2622222222222222,5.539336681365967,classification,2,1,1
178,TotalGain (Shap),0.2844444444444444,3.9890341758728027,classification,2,1,1
179,Permutation (perm_round = 5),0.26222222222222225,2.2043137550354004,classification,2,1,1
180,TotalGain-oob (Saabas),0.3866666666666667,0.31908321380615234,classification,2,1,2
181,TotalGain-oob (Shap),0.5155555555555555,0.24046754837036133,classification,2,1,2
182,TotalGain,0.37111111111111117,0.4548478126525879,classification,2,1,2
183,TotalGain (Shap),0.5622222222222222,0.05718851089477539,classification,2,1,2
184,Permutation (perm_round = 5),0.3555555555555556,1.7131009101867676,classification,2,1,2
185,TotalGain-oob (Saabas),0.3688888888888889,0.22359204292297363,classification,2,1,4
186,TotalGain-oob (Shap),0.5155555555555555,0.21315884590148926,classification,2,1,4
187,TotalGain,0.21999999999999997,0.3715372085571289,classification,2,1,4
188,TotalGain (Shap),0.46,0.1069495677947998,classification,2,1,4
189,Permutation (perm_round = 5),0.3288888888888889,1.4763202667236328,classification,2,1,4
190,TotalGain-oob (Saabas),0.4177777777777778,2.207307815551758,classification,2,1,8
191,TotalGain-oob (Shap),0.47111111111111115,0.2941102981567383,classification,2,1,8
192,TotalGain,0.2088888888888889,0.6804726123809814,classification,2,1,8
193,TotalGain (Shap),0.6,0.19520187377929688,classification,2,1,8
194,Permutation (perm_round = 5),0.64,4.154480218887329,classification,2,1,8
195,TotalGain-oob (Saabas),0.52,5.665637254714966,classification,2,1,16
196,TotalGain-oob (Shap),0.44000000000000006,0.4257524013519287,classification,2,1,16
197,TotalGain,0.16444444444444448,4.735712289810181,classification,2,1,16
198,TotalGain (Shap),0.6311111111111112,0.3730804920196533,classification,2,1,16
199,Permutation (perm_round = 5),0.44,1.6479651927947998,classification,2,1,16
200,TotalGain-oob (Saabas),0.45333333333333325,0.7821555137634277,classification,2,1,32
201,TotalGain-oob (Shap),0.41333333333333333,0.8222408294677734,classification,2,1,32
202,TotalGain,0.13333333333333336,14.424761295318604,classification,2,1,32
203,TotalGain (Shap),0.6711111111111111,0.7781226634979248,classification,2,1,32
204,Permutation (perm_round = 5),0.5244444444444445,9.336727142333984,classification,2,1,32
205,TotalGain-oob (Saabas),0.4444444444444444,1.297539234161377,classification,2,1,64
206,TotalGain-oob (Shap),0.4,1.5459890365600586,classification,2,1,64
207,TotalGain,0.13333333333333336,20.492799282073975,classification,2,1,64
208,TotalGain (Shap),0.6577777777777778,1.669679880142212,classification,2,1,64
209,Permutation (perm_round = 5),0.4266666666666667,4.459277153015137,classification,2,1,64
210,TotalGain-oob (Saabas),0.5511111111111111,3.7037243843078613,classification,2,2,1
211,TotalGain-oob (Shap),0.5244444444444445,1.291919469833374,classification,2,2,1
212,TotalGain,0.38666666666666666,0.3616046905517578,classification,2,2,1
213,TotalGain (Shap),0.4355555555555556,0.03773021697998047,classification,2,2,1
214,Permutation (perm_round = 5),0.5777777777777778,1.5311448574066162,classification,2,2,1
215,TotalGain-oob (Saabas),0.40444444444444444,0.3984062671661377,classification,2,2,2
216,TotalGain-oob (Shap),0.5022222222222222,0.16057753562927246,classification,2,2,2
217,TotalGain,0.22666666666666668,0.3101341724395752,classification,2,2,2
218,TotalGain (Shap),0.29333333333333333,0.0570836067199707,classification,2,2,2
219,Permutation (perm_round = 5),0.7422222222222223,1.8059108257293701,classification,2,2,2
220,TotalGain-oob (Saabas),0.4711111111111111,0.22825145721435547,classification,2,2,4
221,TotalGain-oob (Shap),0.528888888888889,0.2122952938079834,classification,2,2,4
222,TotalGain,0.19555555555555554,0.372147798538208,classification,2,2,4
223,TotalGain (Shap),0.4,0.1042947769165039,classification,2,2,4
224,Permutation (perm_round = 5),0.7066666666666667,1.7151975631713867,classification,2,2,4
225,TotalGain-oob (Saabas),0.5155555555555555,0.2800164222717285,classification,2,2,8
226,TotalGain-oob (Shap),0.5288888888888889,0.46501779556274414,classification,2,2,8
227,TotalGain,0.24,3.7423512935638428,classification,2,2,8
228,TotalGain (Shap),0.56,0.27776336669921875,classification,2,2,8
229,Permutation (perm_round = 5),0.3733333333333333,11.568556547164917,classification,2,2,8
230,TotalGain-oob (Saabas),0.48444444444444446,0.41919398307800293,classification,2,2,16
